Name,key,Style,Style Key,Brewery,Description,ABV,Ave Rating,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Moose Drool Brown Ale,306,Brown Ale - American,9,Big Sky Brewing Company,"Notes:It's chocolate brown in color with a creamy texture. A malty beer with just enough hop presence to keep it from being too sweet. The aroma mostly comes from the malt with a hint of spice added by the hops. Moose Drool is brewed with pale, caramel, chocolate, and whole black malts; and Kent Goldings, Liberty, and Willamette hops.	",5.1,3.72,25,45,9,52,4,49,57,5,0,7,36,10,101
Old Brown Dog,307,Brown Ale - American,9,Smuttynose Brewing Company,"Notes:Old Brown Dog has been cited as a classic example of the “American Brown Ale” style of beer. Compared to a typical English Brown Ale, Old Brown Dog is fuller-bodied and more strongly hopped.18 IBU	",6.7,3.94,25,45,14,37,9,51,50,5,0,5,58,3,91
Coffee Bender,308,Brown Ale - American,9,Surly Brewing Company,"Notes:Bender steeped cold for 24 hours in coarsely ground coffee beans from the Vinca Vista Hermosa plantation in Guatemala.	",5.5,4.18,25,45,28,87,9,139,66,16,0,10,64,15,207
Wilco Tango Foxtrot,309,Brown Ale - American,9,Lagunitas Brewing Company,"Notes:Rich, smooth, dangerous, and chocolatey. It's a big ol' hoppy Imperial Brown Ale to help you with your slippery slide on into the heat of the night.	",7.85,3.94,25,45,8,72,15,92,70,33,0,30,95,3,124
Brown Ale,310,Brown Ale - American,9,Brooklyn Brewery,"Notes:This is the award-winning original American brown ale, first brewed as a holiday specialty, and now one of our most popular beers year-round. Northern English brown ales tend to be strong and dry, while southern English brown ales are milder and sweeter. Brooklyn Brown Ale combines the best of those classic styles and then adds an American accent in the form of a firm hop character and roasty palate. A blend of six malts, some of them roasted, give this beer its deep russet-brown color and complex malt flavor, fruity, smooth and rich, with a caramel, chocolate and coffee background. Generous late hopping brings forward a nice hop aroma to complete the picture. Brooklyn Brown Ale is full-flavored but retains a smoothness and easy drinkability that has made it one of the most popular dark beers in the Northeast.	",5.6,3.65,25,45,15,70,4,43,60,6,0,2,33,1,109
Ellie's Brown Ale,311,Brown Ale - American,9,Avery Brewing Company,"Notes:Chocolate malt gives this beer a brown sugar maltiness with hints of vanilla and nuts, while subtle hopping gives it an overall drinkability that’s second to none.IBUs: 17	",5.5,3.9,25,45,10,48,8,40,48,3,0,5,31,9,98
Bender,312,Brown Ale - American,9,Surly Brewing Company,"Notes:Here's what happens when substance meets smooth. This oatmeal brown ale defies traditional categories. Bender begins crisp and lightly hoppy, complemented by the velvety sleekness oats deliver. Belgian and British malts usher in cascades of cocoa, coffee, carmel and hints of vanilla and cream. An easy-drinking ale with many layers of satisfaction.	",5.5,4.09,25,45,10,75,12,62,71,6,0,8,47,11,155
Sumatra Mountain Brown,313,Brown Ale - American,9,Founders Brewing Company,"Notes:This bold, imperial brown ale gets its body from a team of malts including Caramel malt for sweetness, flaked barley for dense foam, a bit of Chocolate malt for its deep color and Aromatic and Munich malts to add even more depth. German and Perle hops add a touch of bitterness to balance the malty sweetness. The addition of rich Sumatra coffee takes this perfectly balanced imperial brown ale to a decadent level.	",9,4.3,25,45,8,103,27,106,105,9,3,12,33,13,218
Koko Brown,314,Brown Ale - American,9,Kona Brewing Co.,"Notes:Koko Brown's distinctive, nutty aroma and flavor comes from real, toasted coconut blended into each brew. One sip of this smooth, mahogany colored ale and you'll feel like you're on a warm, sun drenched beach in Hawaii. Crack one open!	",5.5,3.64,25,45,8,43,7,25,43,4,0,61,23,3,80
Frangelic Mountain Brown,315,Brown Ale - American,9,Founders Brewing Company,"Notes:We love a well-balanced brown ale. Especially a brown ale of the hazelnut coffee persuasion. Case in point: Frangelic Mountain Brown. Initially brewed and released in bottles in 2012, this deliciously sweet and nutty coffee brown ale quickly became a favorite amongst beer fans and inspired us to continue pushing the coffee and beer envelope. Turns out your new favorite coffee drink is a beer.	",9,4.07,25,45,9,75,12,74,67,2,0,2,14,5,193
Pecan Ale,316,Brown Ale - American,9,Abita Brewing Co.,"Notes:Formerly Pecan Harvest AlePecan Harvest Ale is made with real Louisiana pecans that have been toasted to perfection. That makes it something really special, because most beers with a nutty flavor or aroma aren’t made with real nuts. The natural oils from the Louisiana pecans give the ale a light pecan finish and aroma.20 IBU	",5.2,3.38,25,45,11,37,6,19,44,6,0,7,24,4,146
Cabin Fever,317,Brown Ale - American,9,New Holland Brewing Company,Notes:,6.5,3.7,25,45,9,70,10,46,54,5,0,11,41,7,124
Maple Nut Brown Ale,318,Brown Ale - American,9,Tommyknocker Brewery,"Notes:A touch of Maple Syrup is added to each barrel of our award winning Maple Nut Brown Ale to impart a roasted sweetness. This addition balances the nut flavor produced by Munich, caramel and chocolate malts used in the brewhouse, producing a drinkable brown ale.	",4.5,3.44,25,45,7,53,5,12,99,1,0,1,11,3,130
Durty Mud Season,319,Brown Ale - American,9,Smuttynose Brewing Company,Notes:,8.4,3.97,25,45,14,62,20,122,73,19,1,27,123,6,100
Samuel Adams Hazel BrownBoston Beer Company (Samuel Adams),320,Brown Ale - American,9,Boston Beer Company (Samuel Adams),Notes:,5.2,3.61,25,45,13,55,9,28,64,2,0,7,29,16,153
Rocky's Revenge Bourbon Brown,321,Brown Ale - American,9,Tyranena Brewing Company,"Notes:Deep in the darkest depths of Rock Lake dwells a great saurian known today as Rocky. The legend of Rocky is old. The ancient inhabitants of Aztalan warned of the beast by building a giant serpent mound at the lake's edge. The early residents of Lake Mills were forewarned of a guardian placed in its lake to protect its sacred stone tepees. And history tells of numerous encounters with Rocky, who became a source of great worry and fear. Although not seen for over a century, divers still experience a feeling of dread and being watched. Enjoy Rocky's Revenge, our offering to this legendary protector of Tyranena.	",6,3.74,25,45,9,59,46,18,60,0,0,5,16,19,128
Brekle's Brown,322,Brown Ale - American,9,Anchor Brewing Company,"Notes:Single hopped with Citra.	",6,3.71,25,45,21,49,7,61,60,29,0,42,64,0,82
Bitch Creek American Brown Ale,323,Brown Ale - American,9,Grand Teton Brewing Co.,"Notes:At Grand Teton Brewing, we are very fortunate to live in one of the greatest places on earth. The beauty, wildlife, mountains, clear water and endless activities found right here in our backyard make for an outdoor playground paradise.One of these local landmarks is Bitch Creek. Similar to the water used in our brewing process, Bitch Creek is spring fed and flows out of the west side of the Grand Tetons. It’s a popular playground for kayakers and fishermen alike. Bitch Creek American Brown Ale is named for this local landmark. Since 2004, it’s become one of the most award-winning beers in the industry having claimed 15 gold medals at national events. Bitch Creek perfectly balances big malt sweetness and robust hop flavor for a full bodied, satisfying mahogany ale. Like the stream for which it is named, our Bitch Creek American Brown Ale is full of character... not for the timid.SpecificationsMalts: Idaho 2-Row malted barley, German Melanoidin, CaraAmber, CaraAroma & CaraMunich Hops: Galena, Chinook, and Centennial. Original Gravity (Plato): 15.0° International Bitterness Units: 60Alcohol by Volume: 6.0% Lovibond: 18°Formerly called ""Bitch Creek ESB (Extra Special Brown)""	",6,3.76,25,45,15,67,20,95,54,28,0,23,98,4,103
Bellaire Brown Ale,324,Brown Ale - American,9,Short's Brewing Company,"Notes:Bellaire Brown is our flagship Brown Ale. Full-flavored with notes of sweet caramel, chocolate, and toasted malt, Bellaire Brown is balanced with a mild and earthy hop quality. This ale is dark and rich with a medium body. It’s hardly classifiable as a brown, but is certainly considered a delicious masterpiece.Bellaire Brown was originally created to appeal to people who enjoyed drinking coffee, and to beer drinkers who are not interested in hoppy options. When Joe Short was creating the Bellaire Brown recipe, he desired a beer that was meatier and burlier than most browns. Bellaire Brown is a great gate-way beer for drinkers to be introduced to darker beer varieties.19 IBU	",7,3.82,25,45,11,63,10,24,72,5,0,11,22,4,118
George,325,Brown Ale - American,9,Hill Farmstead Brewery,"Notes:George was our grandfather’s brother, and Hill Farmstead Brewery rests upon the land that was once home to him and his 13 siblings.George is our American Brown Ale. Hopped, rightfully so, with Centennial, Cascade, and a touch of Columbus…	",6,4.13,25,45,14,68,5,66,58,16,0,19,67,7,133
Dirty Little Freak,326,Brown Ale - American,9,DuClaw Brewing Company,"Notes:Dirty Little Freak Coconut Caramel Chocolate Brown Ale, first brewed in 2014, takes the traditional American Brown Ale and gives it a sensual new twist – Coconut! This medium-bodied, 5.8% abv brown ale is a feast for the senses from its dominant blend of warm, roasted malt, coconut, caramel, and chocolate flavors barely restrained by a gentle hop bite, to its tantalizingly satisfying finish. But if you submit to our Dirty Little Freak, be warned: there is no safe word.	",5.8,3.75,25,45,5,86,11,22,80,1,0,59,13,25,104
Brown Ale,327,Brown Ale - American,9,The Duck-Rabbit Craft Brewery,"Notes:The Duck-Rabbit Brown Ale is an American brown brewed with loads of hops from start to finish (it's hoppy and beautifully bitter). Amarillo boil hops provide a spicy citrusy bitterness. Saaz dry hops offer a refined flowery aroma. These hops are supported by seven varieties of malt. The Duck-Rabbit Brown Ale is a great choice for anyone who appreciates assertive hops and nutty toasted malt flavors – oh yeah!	",5.6,3.73,25,45,15,71,11,93,47,12,1,13,97,10,99
Board Meeting,328,Brown Ale - American,9,Port Brewing,"Notes:An amplified brown ale, the beer is brewed with liberal additions of coffee from local San Diego roasters, Ryan Brothers, and cocoa nibs sourced from famed San Francisco chocolate maker TCHO.	",8,4.17,25,45,10,100,20,90,85,9,0,17,36,11,142
Humboldt Brown (Ale Brewed With Hemp),329,Brown Ale - American,9,Humboldt Brewing Co.,"Notes:Formerly called ""Hemp Ale"".	",5.7,3.49,25,45,6,50,2,32,43,9,0,11,32,4,96
Dos Perros,330,Brown Ale - American,9,Yazoo Brewing Company,"Notes:Many Mexican beer styles today are descendants of old Austrian styles, from when Austria ruled Mexico in the late 19th century. Our Dos Perros is made with German Munich malt, English Pale malt, and Chocolate malt, and hopped with Perle and Saaz hops. To lighten the body, as many Mexican brewers do, we add a small portion of flaked maize. The result is a wonderfully bready malt aroma, balanced with some maize sweetness and a noble hop finish.21 IBU	",4.9,3.65,25,45,12,52,1,29,56,4,2,5,25,8,127
Imperial Nut Brown Ale,331,Brown Ale - American,9,Tommyknocker Brewery,"Notes:Commemorating the 10th anniversary of Tommyknocker Brewery, this special brew is meticulously crafted with pure maple syrup, the highest quality chocolate and crystal malts and is accented with the finest blend of European and American hops. Imperial Nut Brown Ale, at 9.8% alcohol by volume, is a bigger, bolder version of their Maple Nut Brown.	",9,3.75,25,45,12,60,40,60,131,16,0,25,44,4,167
Okie,332,Brown Ale - American,9,Prairie Artisan Ales,"Notes:Imperial brown ale aged in oak whiskey barrels.	",12,4.14,25,45,5,82,88,22,105,15,0,20,16,34,125
Peter Brown Tribute Ale,333,Brown Ale - American,9,Bear Republic Brewing Co.,"Notes:Peter Brown Tribute Ale is malty American Brown Ale, brewed with molasses, brown sugar, and hopped with Cascade and Centennial. It's just the way Pete would have wanted it.2009 California State Fair - GOLD2009 North American Brewers Association – GOLD2006 Great American Beer Festival® Brown Porter – BRONZE2004 Great American Beer Festival® Brown Porter – GOLD	",6.3,3.89,25,45,11,62,14,67,97,9,0,15,49,15,137
Underground Mountain Brown,334,Brown Ale - American,9,Founders Brewing Company,"Notes:Barrel-Aged Sumatra Mountain BrownUnderground Mountain Brown is the harmonious drinking experience only achieved when our imperial brown ale, earthy Sumatra coffee and a year aging in caves below Grand Rapids comes together. A team of malts complement the bold sumatra coffee perfectly, while time spent immersed in oak creates layers of depth and complexity. A celebration of the barrel, the bean and everything in between.30 IBU	",11.9,4.36,25,45,6,80,77,79,57,4,0,5,19,26,177
Good Humans Ale (Dry Hopped Double Brown Ale),335,Brown Ale - American,9,Short's Brewing Company,"Notes:Good Humans was originally created to showcase one of Briess Malting Company’s new malt varieties. Originally planned as a one-off beer, it quickly became a favorite brew. Good Humans is a Double Brown Ale made with Carabrown Malt and dry hopped with Simcoe and Golding hops. The brew has sweet malty esters that are met by huge toasted caramel and toffee flavors. The finish is dry with a bouquet of hops.40 IBU	",9.15,3.83,25,45,16,59,20,65,65,24,0,26,90,8,117
Decadent Dark Chocolate Ale,336,Brown Ale - American,9,Atwater Brewery,Notes:,4.5,3.74,25,45,12,123,15,21,95,4,0,1,4,26,116
Sweet Josie Brown Ale,337,Brown Ale - American,9,Lonerider Brewing Company,Notes:,6.1,3.8,25,45,8,57,7,29,76,6,0,9,23,3,103
No Crusts,338,Brown Ale - American,9,Funky Buddha Brewery,"Notes:Brown ale brewed with peanuts, raspberries and strawberries	",6,4.2,25,45,20,77,8,17,96,26,3,68,36,1,148
Bravo 2017,339,Brown Ale - American,9,Firestone Walker Brewing Co.,"Notes:Imperial Brown Ale - This beer is then aged for up to a year in used Heaven Hill bourbon barrels.	",13.2,4.29,25,45,7,38,45,20,71,16,2,22,15,20,95
Festivity Ale,340,Brown Ale - American,9,Goose Island Beer Co.,"Notes:Every year we brew a brown ale to celebrate the holidays. To make each year’s special, we alter the recipe. This year we wrapped caramel and dark fruit malt flavors inside a creamy toasty brown ale. May your holidays be filled with Festivity.	",7.7,3.66,25,45,12,50,23,28,100,27,0,60,28,28,90
Flashback Ale,341,Brown Ale - American,9,Boulder Beer / Wilderness Pub,"Notes:Originally brewed for Boulder Beer's 30th Anniversary. An India Brown Ale. 65 IBU	",6.8,3.78,25,45,17,74,15,98,48,31,2,30,122,17,118
French Toast,342,Brown Ale - American,9,Funky Buddha Brewery,"Notes:Picture custardy French toast, infused with cinnamon and vanilla, fresh from the griddle and drizzled with warm maple syrup. Now picture that in a glass. Boom. Mind blown.	",8.8,4.33,25,45,9,51,18,7,140,7,0,1,4,69,113
He'Brew Messiah Nut Brown Ale,343,Brown Ale - American,9,Shmaltz Brewing Company,"Notes:A complex yet smooth blend of bold dark malts revealing hints of chocolate, coffee and toffee paired with a lovely hop character.	",5.2,3.6,25,45,5,36,4,30,57,14,0,13,30,8,103
Snow Roller,344,Brown Ale - American,9,Magic Hat Brewing Company,"Notes:Based on an English style brown with a decidedly American Twist. A medium body carries flavors of biscuit and caramel while a distinct hop bitterness prevails in the finish.	",6.2,3.46,25,45,14,44,7,56,45,8,0,11,75,5,84
Cacao Bender,345,Brown Ale - American,9,Surly Brewing Company,"Notes:Mahogany hued ale infused with coffee, vanilla beans and cacao nibs.45 IBU	",5.1,4.31,25,45,12,77,6,115,44,4,0,1,15,26,148
Coffee Okie,346,Brown Ale - American,9,Prairie Artisan Ales,"Notes:imperial brown ale aged in whiskey barrels with coffee added.	",13,4.29,25,45,8,73,84,69,79,3,0,9,7,23,174
Sick Day,347,Brown Ale - American,9,Long Trail Brewing Co.,"Notes:A hoppy brown ale built for winter's deepest days, ""Sick Day"" is knee-deep in piney, spicy hop flavors and nicely balanced by a warming, toasty malt presence that'll warm your soul after a day in the snow.Grab your gear and call out, because some days are too good to miss.Recipe change from IPA to Hoppy Brown Ale in 2015.	",6.8,3.61,25,45,13,38,25,70,33,20,2,20,95,10,74
Madtown Nutbrown,348,Brown Ale - American,9,Ale Asylum,"Notes:A blend of seven unique malts give this brown ale an earthy aroma and a flavor reminiscent of caramel with a slightly creamy finish.	",5.5,3.7,25,45,9,86,3,24,61,9,0,8,31,1,121
Hash Brown,349,Brown Ale - American,9,SweetWater Brewing Company,"Notes:An ""India Brown Ale"".Oh me oh my… what did we do?We fired up the skillet to 420°, tossed in a sizzling concoction of 2-row, Wheat, Pale Chocolate, Cara-Brown and Midnight Wheat, then added in a hefty dose of hop hash and other dank-ish-ish-ish fixin’s to scatter, smother and cover this baby all the way.Resiny, citrusy hops spice up the rich chocolate and caramel notes the malt brought to the mix, making this platter slide down the counter at 60 IBU’s.Grains: 2-Row, Wheat, Pale Chocolate, Cara-Brown, Midnight WheatHops: Mandarina Bavaria, Bravo, Hop HashABV: 6.2% IBU’s: 60	",6.2,3.87,25,45,17,66,8,105,57,42,0,50,148,14,112
Over Ale,350,Brown Ale - American,9,Half Acre Beer Company,"Notes:Originally brewed as an ESB, but is now brewed as an American Brown Ale.	",6,3.83,25,45,17,66,6,59,56,10,0,12,80,4,113
Leffe Brune / Brown,351,Brown Ale - Belgian Dark,10,Abbaye de Leffe S.A.,"Notes:Savor the Mystery of the agesThe authentic Belgian Abbey ale: Enjoy this delicious malt forward ale, accentuated with subtle caramel and roasted notes from dark malts	",6.5,3.82,15,25,11,57,21,26,98,18,0,41,24,31,125
Noire De Chambly / Chambly Noire,352,Brown Ale - Belgian Dark,10,Unibroue,"Notes:Name changed from Chambly Noire to Noire de Chambly in Aug. 2009.This dark ale was created in honour of the brave soldiers of the Carignan-Salières Regiment, with their famous black musketeer hats. In 1665, King Louis XIV sent the regiment to New France to defend against the Iroquois. He had a number of strategic forts, including Fort Chambly, built along the Richelieu River, ensuring peace and prosperity for the colony. Many French Canadians are the direct descendants of these intrepid forebears.	",6.2,3.72,15,25,15,45,25,18,89,61,0,76,22,66,58
Belgian Freeze Belgian Style Winter Ale,353,Brown Ale - Belgian Dark,10,River Horse Brewing Co.,"Notes:Our warming winter Ale is amber in color, malty and full bodied. Belgian yeast provides a variety of delicate characteristics in the nose and on the palate.	",8,3.61,15,25,7,29,31,18,82,36,1,52,20,16,38
Cold Front,354,Brown Ale - Belgian Dark,10,Ithaca Beer Company,Notes:,7.2,3.66,15,25,16,44,25,24,82,43,0,55,28,31,67
Grottenbier,355,Brown Ale - Belgian Dark,10,Brouwerij St. Bernardus NV,"Notes:From Pierre Celis, brewed at Brouwerij St. Bernardus.No longer available in the US.	",6.5,3.8,15,25,36,58,23,20,75,66,0,50,25,64,63
Undertaker,356,Brown Ale - Belgian Dark,10,Brewery Vivant,Notes:,6.7,3.62,15,25,10,32,11,30,46,14,0,21,6,26,77
Rejection,357,Brown Ale - Belgian Dark,10,Russian River Brewing Company,Notes:,6.1,3.84,15,25,7,85,8,38,91,35,0,40,35,25,97
Petrus Winterbier,358,Brown Ale - Belgian Dark,10,De Brabandere,Notes:,6.5,3.62,15,25,16,37,23,16,99,90,0,92,24,57,73
Brontide,359,Brown Ale - Belgian Dark,10,Stillwater Artisanal Ales,Notes:,5,3.51,15,25,16,59,5,39,39,15,0,13,28,11,66
Petrus Speciale,360,Brown Ale - Belgian Dark,10,De Brabandere,"Notes:Petrus Speciale is an amber coloured high fermentation beer with a typical dry aftertaste. Brewed according an ancient recipe with special malts, this beer gives an mild scent derived from aroma hops.	",6.5,3.28,15,25,41,43,18,30,79,47,1,37,36,11,91
Kapittel Pater,361,Brown Ale - Belgian Dark,10,Leroy Breweries,Notes:,6,3.61,15,25,13,67,15,30,151,38,0,64,32,14,92
Hive 56,362,Brown Ale - Belgian Dark,10,Allagash Brewing Company,"Notes:Hive 56 is a dark sour ale aged with honey in an oak foudre for eighteen months. The beer is deep mahogany in color with aromas of strawberries, lemon, and tropical fruit; notes of dark chocolate, raspberries, and figs present themselves upon the first sip, followed by a lingering tartness.We brew this beer with a blend of dark Munich malt, chocolate wheat, midnight wheat, and roasted barley, and hop with Cascade and Northern Brewer. Hive 56 undergoes initial fermentation with our house yeast; we then transfer the beer to a foudre with Brettanomyces bruxellensis and fresh honey from our Allagash beehives. Over the course of the next 18 months, the Brettanomyces transforms the honey, resulting in a beer with bold, roasty flavors, and a hint of tropical fruit.	",7.7,4.09,15,25,34,79,19,27,205,219,1,149,26,5,132
La Rullés Cuvée Meilleurs Voeux (Bière De Gaume),363,Brown Ale - Belgian Dark,10,Brasserie Artisanale De Rulles SPRL,Notes:,7.3,3.85,15,25,23,60,27,31,121,54,0,73,33,52,63
Werewolf,364,Brown Ale - Belgian Dark,10,Rinkuškiai,"Notes:Lithuania’s world-famous beer-making traditions take their roots in antiquity. Lithuanians know their beer and truly appreciate this remarkable potation. Today many old families possess unique beer recipes passed down to them from generation to generation.	",8.2,2.95,15,25,7,35,45,18,87,32,0,40,16,4,76
Triporteur From Hell,365,Brown Ale - Belgian Dark,10,BOMBrewery,Notes:,6.66,3.74,15,25,12,46,18,40,78,28,0,31,41,22,98
Tempelier,366,Brown Ale - Belgian Dark,10,Brouwerij Corsendonk,Notes:,6,3.8,15,25,42,50,13,28,89,57,2,60,41,19,68
Bink Bruin,367,Brown Ale - Belgian Dark,10,Brouwerij Kerkom,Notes:,5.5,3.62,15,25,12,65,16,33,116,34,0,57,36,12,80
Spinner Bait Belgian Style Red,368,Brown Ale - Belgian Dark,10,SweetWater Brewing Company,Notes:,6,3.4,15,25,24,35,11,26,56,31,0,40,38,44,54
The Debutante,369,Brown Ale - Belgian Dark,10,Societe Brewing Co.,"Notes:Belgian-style Amber Ale	",6.8,3.78,15,25,3,3,0,6,5,4,0,6,11,2,7
Black Rhino,370,Brown Ale - Belgian Dark,10,Adelbert's Brewery,Notes:,5.6,3.68,15,25,9,38,11,33,51,18,0,22,27,24,52
Woodbooger,371,Brown Ale - Belgian Dark,10,Strangeways Brewing,"Notes:A dark roasty brown ale brewed with organic coconut sugar, dark Belgian candied sugar, and aged with vanilla bean.	",6,3.78,15,25,3,40,12,18,50,16,0,29,8,6,57
Biscotti,372,Brown Ale - Belgian Dark,10,Lift Bridge Brewery,Notes:,7,3.62,15,25,14,31,24,12,53,30,0,51,15,80,76
Fullsuit Belgian-Style Brown Ale,373,Brown Ale - Belgian Dark,10,Karl Strauss Brewing Company,Notes:,6.3,3.65,15,25,19,50,21,20,62,30,0,38,21,27,103
D’Tango Unchained,374,Brown Ale - Belgian Dark,10,Weyerbacher Brewing Co.,"Notes:D’Tango Unchained is a Belgian-Style Dark Ale brewed with cherries (AKA Tango), which we then aged in oak barrels with Brettanomyces. The result is a 9.6% ABV deep amber brew with ruby highlights. Aroma has subtle hints of banana, along with tart cherry, soft vanilla and oak. Not overly sweet, tasting yields a nice, tart cherry and lingering malty flavors that finish dry.	",9.6,4.06,15,25,32,52,21,2,81,147,0,117,16,33,47
Winter Koninck,375,Brown Ale - Belgian Dark,10,Brouwerij De Koninck NV,Notes:,6.5,3.54,15,25,5,45,24,15,100,31,0,40,15,43,51
Tongerlo 6 Dubbel Bruin,376,Brown Ale - Belgian Dark,10,Brouwerij Haacht NV,Notes:,6.5,3.49,15,25,9,35,5,18,82,25,0,46,10,5,52
Ganache,377,Brown Ale - Belgian Dark,10,Allagash Brewing Company,"Notes:Dark Ale fermented with brettanomyces and aged on local fresh raspberries.	",7.2,4.13,15,25,16,69,8,16,117,89,0,61,11,3,59
Bière De Noël,378,Brown Ale - Belgian Dark,10,Brasserie Thiriez,Notes:,5.8,3.71,15,25,19,55,12,17,59,62,1,54,27,63,81
Solenna,379,Brown Ale - Belgian Dark,10,Funkwerks,"Notes:Solenna pairs the fruitiness of a traditional Belgian yeast strain with the subtle spicy character of Brettanomyces and the floral notes of German hops. Notes of candy apple, cinnamon, and fresh-cut grass give way to a dry finish and firm lingering bitterness.	",6.5,3.84,15,25,28,37,14,27,56,79,0,53,56,44,49
Abbey Ale,380,Brown Ale - Belgian Dark,10,Cathedral Square Brewery,"Notes:This traditional Belgian-style ale is brewed using five malts, two hop varieties and authentic Trappist Belgian yeast.	",6.5,3.6,15,25,11,46,18,25,60,25,1,43,31,22,92
St. EADman,381,Brown Ale - Belgian Dark,10,Flying Dog Brewery,Notes:,8.3,3.87,15,25,16,42,36,20,127,54,2,89,32,23,74
Trooper Hallowed,382,Brown Ale - Belgian Dark,10,Robinsons Family Brewers,"Notes:Crystal Rye gives HALLOWED a blood red hue and a smooth dry finish. The Belgian style yeast we have used in this brew along with Noble hops combine to deliver a complex palate of subtle banana and a sweet plum finish.20 IBU	",6,3.66,15,25,23,52,22,28,127,49,2,102,55,49,118
Leffe De Noël,383,Brown Ale - Belgian Dark,10,Abbaye de Leffe S.A.,Notes:,6.6,3.51,15,25,6,29,23,18,66,28,0,29,14,45,52
Gruut Belgian Amber Ale,384,Brown Ale - Belgian Dark,10,Gentse Gruut Brouwerij,Notes:,6.6,3.57,15,25,14,41,12,36,75,28,0,32,55,27,64
Haviken,385,Brown Ale - Belgian Dark,10,Strange Roots Experimental Ales,"Notes:Strong. Dark. Belgian. This swarthy Dubbel is integrated with a distinctly porter-esque roasted quality & our Brettanomyces lambicus yeast strain for an unexpectedly cherry-tart finish.	",7.4,3.9,15,25,14,35,9,14,50,82,0,54,23,4,25
Grotten Sante,386,Brown Ale - Belgian Dark,10,Brasserie Kazematten,"Notes:Grotten Santé is a zesty beer with an alcohol volume of 6.5%, and is made using small quantities of exotic herbs that create a slight dryness. The beer has a chestnut brown colour.	",6.5,3.78,15,25,15,34,13,20,83,46,0,53,29,30,59
Mushhushshu,387,Brown Ale - Belgian Dark,10,Rhinegeist Brewery,"Notes:A blend of black beers aged in bourbon barrels for over 6 months, then infused with coffee, vanilla beans, and cocoa nibs	",10.3,4.02,15,25,0,48,26,27,36,9,0,14,4,12,70
Coffee Navette,388,Brown Ale - Belgian Dark,10,Penrose Brewing,"Notes:28 IBUCoffees used:Intelligentsia PersephoneIntelligentsia El GalloIntelligentsia La Perla de OaxacaIntelligentsia Tres Santos	",6,4.11,15,25,3,7,2,23,5,5,0,3,4,1,29
Proletary Ale,389,Brown Ale - Belgian Dark,10,The Brewer's Art,"Notes:After much demand for a seriously dark beer, we came up with this delicacy. Black, smooth and easy to drink, this is our beer for the people!5%abv	",5,4.02,15,25,15,66,14,44,52,4,0,9,31,11,92
Black Jack (Bourbon Barrel Aged),390,Brown Ale - Belgian Dark,10,North by Northwest Restaurant & Brewery,Notes:,0,3.94,15,25,6,37,46,6,49,11,0,20,11,26,77
La Rullés Brune (Bière De Gaume),391,Brown Ale - Belgian Dark,10,Brasserie Artisanale De Rulles SPRL,Notes:,6.5,3.74,15,25,12,55,12,17,100,29,0,43,29,17,94
Navette,392,Brown Ale - Belgian Dark,10,Penrose Brewing,"Notes:A Belgian-inspired Black Ale with herbal, toasted aroma. Medium body, smooth texture, with bitter chocolate flavor in full support of the Ardennes yeast character. Long dry finish, turns from sweet to bitter.28 IBU	",6,3.84,15,25,3,24,0,14,15,2,0,4,18,4,20
La Petite Mort,393,Brown Ale - Belgian Dark,10,Black Raven Brewing Co.,Notes:,8.7,4.12,15,25,3,12,5,4,19,8,0,9,3,7,12
Leffe Rossa,394,Brown Ale - Belgian Dark,10,Abbaye de Leffe S.A.,Notes:Also known as Leffe Bière De Printemps ,6.6,3.37,15,25,12,26,12,11,49,18,0,18,13,24,48
La Brea Brown,395,Brown Ale - Belgian Dark,10,Fossil Cove Brewing Co.,Notes:,6,3.74,15,25,5,6,5,14,20,7,0,8,14,2,27
North By Northwest Okanogan Black Ale,396,Brown Ale - Belgian Dark,10,North by Northwest Restaurant & Brewery,Notes:,0,3.64,15,25,3,22,3,14,18,4,0,4,12,7,46
Special 608 Belgian Amber,397,Brown Ale - Belgian Dark,10,Evolution Craft Brewing Company,Notes:,7.5,3.72,15,25,2,0,1,2,3,4,0,4,2,1,1
Valeir Donker,398,Brown Ale - Belgian Dark,10,Brouwerij Contreras,Notes:,6.5,3.82,15,25,12,54,6,19,94,29,0,58,16,10,48
Blind Ambition,399,Brown Ale - Belgian Dark,10,Ladyface Ale Companie,"Notes:A Belgian style Amber ale with good malt structure, faint undertones of chocolate and a beautiful copper amber hue. This new batch will clock in with moderately strong alcohol and low bitterness levels.	",6.4,3.86,15,25,2,7,6,6,16,7,1,7,7,3,18
Bean Counter,400,Brown Ale - Belgian Dark,10,Taxman Brewing Co.,"Notes:Bean Counter is a Belgian-style Brown Ale brewed with Taxman's signature blend coffee from Mile Square Coffee Roastery. A rich base of caramel and roasted malts is enhanced by a generous dose of coffee, cocoa nibs and Mexican vanilla beans, making Bean Counter a complex dark ale perfect for nights around the fire.	",7.8,4.02,15,25,10,47,8,65,36,4,0,6,18,27,100
Newcastle Brown Ale,401,Brown Ale - English,11,Heineken Nederland B.V.,Notes:,4.7,3.33,15,25,8,23,2,20,31,9,0,12,19,1,54
